Indicator,PRISM Score
192.81.209.168,116.0
70.39.120.10,115.0
1.20.169.90,112.0
103.152.100.221,112.0
103.171.34.199,112.0
108.28.164.248,112.0
121.43.186.132,112.0
143.244.129.100,112.0
143.244.132.234,112.0
144.217.207.22,112.0
148.251.53.222,112.0
148.72.168.81,112.0
152.32.243.122,112.0
156.234.169.19,112.0
156.255.2.205,112.0
162.55.177.145,112.0
163.172.143.114,112.0
176.58.100.98,112.0
185.100.87.44,112.0
185.100.87.63,112.0
185.100.87.73,112.0
185.165.169.31,112.0
185.169.252.49,112.0
188.165.24.131,112.0
193.42.24.241,112.0
205.233.151.1,112.0
207.148.15.69,112.0
23.106.161.1,112.0
27.102.134.110,112.0
31.42.177.78,112.0
37.49.227.165,112.0
43.132.150.19,112.0
43.242.34.12,112.0
45.80.215.133,112.0
5.34.176.111,112.0
54.249.142.61,112.0
66.29.141.114,112.0
66.29.153.55,112.0
85.195.97.226,112.0
86.104.74.169,112.0
89.34.237.12,112.0
90.154.72.187,112.0
96.30.199.174,112.0
125.227.90.5,108.0
166.1.190.171,108.0
172.104.114.32,108.0
194.156.98.73,108.0
219.85.158.26,108.0
5.8.63.108,108.0
58.229.208.146,108.0
5.180.114.228,103.0
141.11.149.103,102.0
141.11.86.135,102.0
146.66.221.75,102.0
147.79.59.110,102.0
154.16.27.95,102.0
184.174.96.132,102.0
185.167.116.34,102.0
185.225.20.103,102.0
185.225.20.186,102.0
195.58.49.133,102.0
23.26.227.102,102.0
38.207.137.134,102.0
45.11.1.40,102.0
62.72.163.159,102.0
7zip.com,102.0
89.150.57.150,102.0
91.193.17.158,102.0
92.119.157.20,102.0
173.212.217.108,98.0
203.160.86.94,92.0
207.246.98.111,92.0
213.229.107.11,92.0
34.196.190.252,92.0
37.130.34.238,92.0
179.43.141.196,89.0
rvthereyet.com,87.0
sustaincharlotte.org,87.0
37.46.115.16,84.0
37.46.115.17,84.0
37.46.115.24,84.0
91.90.122.24,84.0
216.24.213.7,80.0
112.175.184.4,78.0
www.ovh.com,73.0
103.159.239.202,66.0
143.110.144.97,59.0
146.190.133.67,57.0
172.104.131.24,57.0
143.110.235.77,54.0
185.143.223.69,52.0
45.135.232.2,52.0
137.184.15.64,51.0
147.135.11.223,50.0
app.koofr.net,48.0
gateway.filen-3.net,48.0
gateway.filen-4.net,48.0
gateway.filen-5.net,48.0
104.219.171.96,47.0
118.97.151.34,47.0
157.230.183.1,47.0
167.71.24.236,47.0
104.200.72.6,46.0
183.111.161.96,45.0
183.111.174.34,45.0
183.111.174.97,45.0
183.111.182.195,45.0
51.158.21.1,45.0
146.190.169.165,42.0
5.181.159.16,42.0
14.139.185.60,41.0
gateway.filen.io,41.0
pastebin.pl,37.0
172.59.92.152,36.0
23.120.100.230,36.0
filedn.com,36.0
185.220.101.5,34.0
31.206.51.194,33.0
180.254.155.227,28.0
70.39.115.74,28.0
185.220.101.7,27.0
hireja.com,23.0
applelotusvas.com,22.0
45.134.140.69,19.0
whois.arin.net,17.0
whois.ripe.net,17.0
www.namecheap.com,17.0
108.64.229.100,13.0
159.223.194.163,13.0
206.189.189.107,13.0
45.56.165.17,13.0
59.26.66.44,13.0
96.67.212.83,13.0
96.9.125.8,13.0
154.53.56.231,11.0
154.216.69.38,9.0
fofudir.com,9.0
ganobaz.com,9.0
kuxizi.com,9.0
moduwoj.com,9.0
pazovet.com,9.0
212.227.37.46,5.0
92.118.112.143,5.0
08C6E20B1785D4EC4E3F9956931D992377963580B4B2C6579FD9930E08882B1C,
101.255.119.42,
102.129.215.40,
102.189.184.12,
103.107.198.215,
103.146.179.101,
103.156.237.170,
103.173.229.226,
103.186.30.186,
103.207.14.201,
103.207.14.211,
103.214.22.59,
103.73.67.95,
103.77.192.13,
103.77.192.14,
104.160.190.102,
104.168.32.136,
104.18.32.68,
104.21.44.238,
104.21.54.132,
104.223.0.119,
104.225.129.151,
104.248.129.202,
104.248.208.221,
104.248.29.170,
104.26.5.196,
104.28.204.107,
104.86.182.43,
107.180.119.251,
107.191.48.109,
108.174.58.28,
108.185.92.180,
108.238.21.218,
108.61.171.103,
109.166.39.186,
109.237.107.212,
109.237.98.157,
109.248.150.13,
113.133.177.77,
115.126.98.204,
116.169.1.254,
116.48.102.106,
118.69.65.60,
118.98.221.14,
121.78.21.178,
121.78.21.185,
121.78.21.186,
121.78.21.195,
121.78.21.199,
121.78.21.203,
121.78.21.206,
121.78.21.207,
121.78.21.209,
121.78.21.88,
123.254.109.77,
128.199.166.165,
131.226.2.73,
134.35.9.209,
136.143.190.199,
137.175.30.86,
137.184.119.141,
137.184.127.176,
137.184.130.162,
137.184.180.224,
137.184.184.232,
137.184.43.108,
137.184.7.106,
138.197.152.201,
138.197.200.139,
138.199.21.209,
139.162.108.25,
139.162.116.218,
139.162.171.216,
139.180.184.197,
139.59.138.57,
139.59.60.116,
140.82.29.65,
140.82.45.74,
141.136.35.148,
141.8.192.103,
141.94.175.31,
141.95.22.153,
141.98.10.76,
141.98.234.132,
142.93.119.175,
142.93.141.67,
142.93.77.105,
144.172.79.92,
144.202.39.27,
144.202.48.119,
144.96.103.245,
146.19.143.14,
146.19.212.12,
146.190.123.78,
146.190.126.122,
146.190.134.234,
146.190.145.46,
146.190.163.150,
146.190.171.1,
146.190.173.162,
146.190.241.65,
146.190.58.4,
146.4.21.94,
146.70.113.100,
146.70.113.121,
146.70.113.122,
146.70.113.123,
146.70.45.213,
146.70.45.221,
146.70.45.222,
146.70.94.236,
147.135.36.162,
147.45.112.17,
147.45.112.222,
147.45.70.100,
148.113.159.213,
149.154.158.154,
149.248.38.177,
149.248.51.22,
149.28.166.244,
15.235.218.150,
151.101.64.119,
151.236.29.28,
152.32.206.17,
154.216.191.123,
154.216.191.152,
154.216.191.211,
154.216.191.249,
154.216.191.52,
154.39.152.240,
154.39.244.169,
154.39.244.196,
154.39.244.198,
154.39.245.192,
154.39.245.196,
154.39.245.215,
154.39.245.248,
154.39.245.39,
154.55.138.106,
154.55.138.110,
154.55.138.57,
154.55.138.8,
154.55.139.57,
154.6.91.149,
154.91.255.122,
154.91.255.136,
154.91.255.180,
154.91.255.230,
154.91.255.35,
154.91.255.8,
154.91.255.83,
154.91.255.89,
154.91.255.93,
155.133.5.14,
155.133.5.15,
156.146.41.94,
156.199.90.139,
156.241.86.2,
157.230.52.26,
157.245.241.224,
158.247.221.101,
159.223.199.228,
159.223.205.233,
159.223.207.130,
159.223.207.233,
159.223.207.76,
160.20.146.136,
161.35.27.144,
161.35.68.110,
162.0.209.27,
162.125.3.14,
162.125.3.19,
162.240.159.247,
162.241.216.236,
162.243.161.105,
162.243.161.232,
164.92.106.36,
164.92.108.28,
164.92.114.166,
164.92.69.183,
164.92.80.197,
165.22.160.179,
165.227.155.36,
165.231.34.106,
165.232.151.16,
167.71.107.240,
167.71.242.90,
167.88.166.26,
167.99.21.68,
170.130.55.55,
170.64.204.42,
171.244.23.190,
171.25.193.20,
171.25.193.77,
171.25.193.78,
172.105.200.233,
172.105.94.93,
172.117.139.142,
172.93.188.172,
172.96.137.159,
173.53.43.7,
174.138.188.6,
175.6.103.17,
176.119.195.113,
176.119.195.115,
176.124.215.97,
176.241.48.51,
177.191.6.194,
178.128.19.23,
178.162.209.137,
178.162.209.138,
178.175.129.35,
178.20.55.16,
178.63.42.199,
179.43.190.22,
181.209.99.204,
182.239.114.135,
182.239.114.254,
184.168.104.171,
184.168.119.63,
185.100.233.185,
185.100.233.201,
185.100.87.139,
185.118.164.21,
185.129.62.62,
185.129.62.63,
185.138.164.35,
185.165.169.62,
185.170.144.153,
185.174.100.17,
185.183.32.122,
185.189.25.230,
185.195.59.218,
185.209.162.247,
185.21.38.170,
185.216.114.10,
185.220.100.246,
185.220.100.252,
185.220.100.253,
185.220.100.254,
185.220.101.146,
185.220.101.185,
185.220.101.35,
185.220.101.58,
185.220.101.60,
185.220.101.65,
185.220.102.241,
185.220.102.242,
185.220.102.244,
185.220.102.245,
185.220.102.248,
185.220.102.250,
185.220.102.251,
185.220.102.252,
185.222.57.76,
185.225.73.244,
185.225.74.16,
185.229.191.41,
185.236.231.113,
185.241.208.204,
185.244.48.191,
185.247.184.206,
185.250.150.141,
185.251.89.101,
185.254.37.90,
185.26.122.54,
185.32.126.65,
185.33.87.126,
185.34.33.2,
185.36.81.41,
185.49.70.98,
185.80.52.230,
185.99.133.244,
186.18.210.66,
188.127.224.127,
188.127.224.199,
189.112.151.157,
189.216.29.104,
189.216.29.121,
190.203.106.102,
190.206.95.169,
190.74.248.136,
191.84.65.37,
192.160.102.164,
192.169.6.88,
192.185.5.189,
192.210.191.188,
192.227.173.16,
192.229.211.108,
192.229.221.95,
192.3.223.33,
192.42.116.16,
193.142.58.127,
193.149.176.223,
193.149.176.248,
193.176.211.164,
193.176.211.173,
193.176.211.195,
193.187.172.27,
193.201.9.224,
193.218.118.158,
193.235.146.104,
193.42.33.232,
193.56.29.123,
194.165.16.4,
194.165.16.76,
194.26.192.77,
194.28.172.81,
194.32.122.35,
194.33.40.103,
194.5.73.5,
194.67.71.163,
194.87.45.116,
195.123.241.127,
195.133.88.19,
195.133.88.57,
195.133.88.99,
195.181.160.173,
195.234.62.192,
196.207.146.212,
196.240.57.20,
196.70.77.11,
197.203.50.195,
197.207.219.239,
197.58.185.188,
197.58.185.65,
198.12.76.214,
198.199.100.215,
198.251.88.196,
198.50.191.95,
198.58.109.149,
199.188.206.75,
1drv.ms,
2.57.122.82,
20.47.120.195,
20.99.133.109,
20.99.184.37,
20.99.185.48,
20.99.186.246,
200.109.204.113,
200.109.204.20,
201.210.121.173,
201.77.179.66,
203.160.86.91,
203.76.105.227,
205.169.39.195,
205.185.117.73,
205.185.121.169,
206.1.254.18,
206.189.109.146,
206.189.208.156,
206.233.131.119,
206.233.131.130,
206.233.131.136,
206.233.131.16,
206.233.131.197,
206.233.131.201,
206.233.131.214,
206.233.131.230,
206.233.133.147,
206.233.133.233,
206.233.133.61,
207.246.70.132,
208.115.199.25,
208.97.137.171,
209.127.4.22,
209.141.47.6,
209.141.53.247,
212.102.35.149,
212.102.39.138,
213.32.252.221,
216.144.248.20,
216.146.25.60,
216.218.130.2,
216.238.112.82,
216.239.90.19,
217.165.146.158,
220.181.51.88,
23.216.147.64,
23.218.225.10,
23.224.55.116,
23.95.122.103,
23.95.48.151,
24.116.45.121,
24.144.114.85,
24.199.113.238,
3.223.111.130,
3.239.252.217,
31.129.22.54,
31.129.22.83,
31.171.154.54,
31.184.198.111,
34.107.221.82,
37.220.86.127,
37.46.115.26,
37.46.115.29,
37.61.229.16,
37.61.229.171,
37.61.229.79,
38.108.185.115,
38.108.185.79,
38.154.74.55,
38.207.148.123,
38.60.199.87,
3hti.com,
41.250.136.196,
45.11.182.73,
45.11.3.115,
45.11.3.189,
45.11.3.235,
45.128.232.143,
45.134.26.87,
45.135.232.100,
45.137.22.118,
45.137.22.137,
45.137.22.150,
45.137.22.188,
45.137.22.234,
45.137.22.247,
45.137.22.78,
45.137.22.80,
45.140.17.59,
45.141.215.40,
45.153.229.199,
45.154.138.39,
45.154.98.225,
45.200.14.123,
45.200.14.225,
45.200.14.229,
45.200.14.3,
45.200.14.39,
45.200.14.42,
45.200.14.9,
45.227.251.167,
45.227.253.147,
45.227.254.26,
45.32.175.202,
45.55.134.29,
45.59.185.134,
45.61.136.13,
45.61.138.210,
45.66.248.109,
45.66.248.238,
45.66.249.118,
45.76.226.158,
45.77.111.160,
45.77.68.166,
45.8.146.227,
45.80.215.152,
45.80.215.153,
45.80.215.154,
45.84.107.76,
45.84.224.23,
45.86.230.115,
45.86.230.85,
45.86.231.71,
45.90.222.12,
45.93.201.74,
45.95.147.236,
45.95.184.19,
46.166.186.243,
46.249.35.243,
46.29.234.145,
46.4.20.30,
46.8.198.196,
47.115.207.28,
47.154.86.24,
47.237.78.168,
49.205.197.13,
5.149.249.74,
5.180.79.140,
5.180.79.198,
5.181.234.58,
5.181.27.21,
5.181.7.176,
5.182.211.148,
5.182.36.4,
5.183.101.104,
5.188.206.76,
5.188.34.173,
5.188.86.195,
5.252.191.0,
5.252.23.116,
5.255.101.76,
5.34.178.27,
5.61.49.13,
5.8.18.242,
50.16.156.94,
50.192.28.29,
50.215.39.49,
51.159.194.93,
51.91.79.17,
52.87.206.242,
54.37.196.189,
61.133.66.69,
61.166.221.46,
61.195.126.150,
62.122.184.113,
62.182.84.146,
62.233.50.13,
62.233.50.25,
63.143.42.242,
64.176.4.234,
64.183.202.102,
64.190.113.115,
64.190.63.111,
64.225.50.170,
64.227.132.226,
64.227.21.98,
64.23.204.84,
64.94.85.248,
65.108.193.142,
65.20.97.251,
66.154.127.38,
66.187.75.186,
66.23.226.254,
67.203.7.171,
67.225.140.4,
67.229.175.163,
68.156.159.10,
68.183.175.48,
68.65.122.246,
68.83.169.91,
70.37.82.20,
70.39.99.141,
71.6.199.23,
71.9.135.100,
72.21.91.29,
72.217.105.238,
74.119.239.234,
75.127.7.174,
75.145.243.85,
75.166.39.70,
76.76.2.5,
76.8.60.64,
77.220.192.136,
77.245.56.14,
77.91.123.136,
77.91.74.5,
79.124.56.186,
79.124.58.194,
79.137.194.146,
8.222.243.16,
80.67.167.81,
80.85.152.116,
80.94.95.203,
80.94.95.204,
80.94.95.242,
81.19.135.219,
81.19.139.26,
82.180.150.197,
83.217.9.28,
83.217.9.49,
83.217.9.59,
83.97.73.104,
83.97.73.6,
84.21.172.49,
84.234.96.31,
84.32.188.27,
85.159.228.119,
85.159.228.80,
85.159.229.20,
85.159.229.59,
85.192.63.126,
85.239.53.49,
85.239.54.118,
85.90.216.110,
86.48.3.172,
87.251.64.245,
88.119.174.148,
88.214.27.100,
89.105.216.106,
89.107.10.7,
89.185.84.181,
89.185.85.140,
89.187.187.69,
89.208.105.255,
89.223.123.56,
89.23.103.187,
89.23.103.206,
89.31.143.90,
89.44.198.196,
91.102.11.36,
91.199.147.152,
91.208.197.151,
91.208.197.229,
91.210.164.40,
91.213.50.65,
91.215.85.183,
91.219.238.223,
91.224.92.110,
91.228.56.183,
91.231.186.72,
91.240.118.29,
91.92.254.193,
92.118.112.158,
92.118.36.213,
92.119.179.87,
92.119.179.92,
92.119.179.94,
92.204.68.47,
92.223.89.55,
92.38.178.232,
93.188.207.110,
94.131.101.192,
94.131.105.183,
94.158.247.5,
94.198.51.202,
94.198.53.17,
95.164.18.81,
95.214.55.43,
96.10.22.178,
96.44.135.76,
actors.jcracing.com,
airinnovations.com,
alphanews.org,
alumni.clemson.edu,
anonymfile.com,
antiagewellness.com,
api.d-n-s.name,
apidevst.com,
app.box.com,
areekaweb.com,
assets.scontentflow.com,
basiconlineincome.com,
bluefrogplumbing.com,
c.com,
cache.cloudswiftcdn.com,
calbbs.com,
canadamotoguide.com,
careers.bms.com,
careers.fortive.com,
casting.austinonline.shop,
catholiccharities.org,
ce.com,
chamonixskipasses.com,
changemh.org,
chhimi.com,
click.clickanalytics208.com,
clickcom.click,
clicko.click,
complete-physio.co.uk,
complete-pilates.co.uk,
cpanel.netbar.org,
cssp.org,
deerfield.com,
docusong.com,
dotnetreport.com,
dzyne.com,
e-billing@dhl.com,
ecfr.cloud,
ed.com,
ehangmun.com,
elitetournaments.com,
entraide-internationale.fr,
ergos.com,
esfna.org,
exceptionalindividuals.com,
ezlandlordforms.com,
fex.net,
fisa99.screenconnect.com,
friscomusicgroup.com,
global-engage.com,
gov2x.com,
gpoaccess.com,
hmh.org,
hrsoft.com,
jewelryexchange.com,
joelbieber.com,
jquery0.com,
kinematics.starmidwest.com,
knewhealth.com,
line-api.com,
ln5.sync.com,
luxlifemiamiblog.com,
luxury-limousine.com,
mega.nz,
michiganchronicle.com,
michigantownships.org,
miltonhouse.nl,
myfood.silverspringfoodproject.org,
myrtlebeachgolf.com,
ncma.org,
ne.com,
ngrok.io,
o.com,
oastify.com,
office.cdsigner.com,
oglethorpe.edu,
ovh.net,
passphrase.singinganewsong.com,
people.fl2wealth.com,
peridotdentalcare.ca,
perspective.abcbarbecue.xyz,
phfi.org,
prek4sa.com,
proton.me,
resf.com,
s3.eu-central-2.wasabisys.com,
secure-cama.com,
server1.kamon.la,
shorturl.at,
smiss.imwork.net,
sodality.mandmsolicitors.com,
sollishealth.com,
sparkcarwash.com,
spectralogic.com,
store.com,
symantke.com,
taxes.rpacx.com,
tayakay.com,
teamsprotection.onmicrosoft.com,
teamtoc.com,
telemetry.usacyberpages.net,
temp.sh,
theyard.com,
transfer.sh,
tristatecr.com,
unsolved.com,
webhook.site,
ws.onehub.com,
www.als-mnd.org,
www.americancraftbeer.com,
www.architectureandgovernance.com,
www.atlantaparent.com,
www.atmosera.com,
www.cdhcpa.com,
www.conwire.com,
www.doctorkiltz.com,
www.emergencylighting.com/,
www.facefoundrie.com,
www.filemail.com,
www.genderconfirmation.com,
www.gunnerroofing.com,
www.hopechc.org,
www.icann.org,
www.inboundlogistics.com,
www.koimoi.com,
www.lovebscott.com,
www.lsbn.state.la.us,
www.meiersupply.com/,
www.mocanyc.org,
www.murphyoilcorp.com,
www.parksavers.com,
www.parmacalcio1913.com,
www.perfectduluthday.com,
www.pierreagencement.fr,
www.powerlineblog.com,
www.riaa.com,
www.spectralink.com,
www.thecreativemom.com,
www.thetruthaboutguns.com,
www.totem.tech,
www.ultrasound-guided-injections.co.uk,
zerocap.com,
